,DATE,DATE_M,Tỉnh,Nhiệt độ
7758,1/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.7
7759,2/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.06
7760,3/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.52
7761,4/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.08
7762,5/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.11
7763,6/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.99
7764,7/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.65
7765,8/1/2020,T1/2020,Bà Rịa Vũng Tàu,28.01
7766,9/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.76
7767,10/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.81
7768,11/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.89
7769,12/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.82
7770,13/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.14
7771,14/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.63
7772,15/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.73
7773,16/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.26
7774,17/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.43
7775,18/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.65
7776,19/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.55
7777,20/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.44
7778,21/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.68
7779,22/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.58
7780,23/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.28
7781,24/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.36
7782,25/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.01
7783,26/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.04
7784,27/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.37
7785,28/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.44
7786,29/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.05
7787,30/1/2020,T1/2020,Bà Rịa Vũng Tàu,27.26
7788,31/1/2020,T1/2020,Bà Rịa Vũng Tàu,26.4
